X	Tackles_TotalTackles	Tackles_DribbledPast	Tackles_TotalAttemptedTackles	Interception_Total	Fouls_Fouled	Fouls_Fouls	Cards_Yellow	Cards_Red	OffSides_CaughtOffside	Clearances_Total	Blocks_ShotsBlocked	Blocks_CrossesBlocked	Blocks_PassesBlocked	Saves_Total	Saves_SixYardBox	Saves_PenaltyArea	Saves_OutOfBox	Pts
PSG19	18.4	9	27.5	9	11.7	12.05	1.7	0.1	2.4	12.9	2.5	1.4	6.4	2.6	0.2	1.2	1.2	91
Lyon19	16.8	6.9	23.6	9.6	12.3	11.7	1.4	0.1	2.5	16.1	3.6	2	7.1	2.8	0.2	1.4	1.2	72
Lille19	16.5	8.4	24.9	10.2	13.4	12.6	1.8	0.1	1	17.9	2.8	2.3	7.1	2.4	0.1	1.4	0.9	72
Montpellier19	20	9.8	29.8	12.8	12.6	14.1	1.6	0.1	1.5	18.6	2.8	1.7	8.1	2.7	0.1	1.4	1.2	59
Saint-Etienne19	17.7	9.3	27	11.6	12	11.9	1.6	0.2	1.6	19.3	2.6	1.6	6.9	3	0.1	1.8	1.1	66
Marseille19	20.5	10	30.5	10.6	12	13.2	2.2	0.2	1.2	17	2.6	1.5	6.5	2.3	0.1	1.3	0.9	61
Nice19	17.4	8.7	26.1	11.8	13.6	11.2	1.9	0.1	1.1	19.3	2.8	1.6	8	3.2	0.2	1.8	1.2	56
Nimes19	19.3	11.4	30.6	11.7	13	12.8	1.8	0.1	1.1	20.4	3.1	1.9	6.8	3.2	0.2	1.9	1.1	53
Rennes19	17.2	9.4	26.6	10.2	12.8	12.9	1.7	0.1	1.6	19.2	3.1	1.5	7.5	2.8	0.1	1.6	1.1	52
Strasbourg19	17.1	8.2	25.3	11.3	10.6	13.5	1.8	0.1	1.1	18.4	3.3	1.8	6.5	2.7	0.1	1.5	1.1	49
Reims19	20	9.4	29.3	12.8	12.3	14	1.8	0.1	2.1	21.5	2.9	2.2	6.6	2.9	0.1	1.4	1.4	55
Nantes19	20.2	9.7	29.9	11.4	13.1	13	1.8	0.2	2	20.7	2.8	1.7	7.3	2.2	0.1	1.3	0.8	48
Angers19	17.7	9.6	27.3	11.1	11.7	11.8	1.3	0.1	1.3	21.7	2.9	1.9	7.7	3.1	0.2	2	0.9	46
Bordeaux19	18.9	9.7	28.7	10.3	13.1	14.3	2	0.1	1.6	23.9	3	1.8	7.4	2.9	0.1	1.6	1.2	41
Toulouse19	17.6	8.3	25.9	10.1	12.3	14.7	1.9	0.1	1.8	23	3.3	2.4	8.1	3.2	0.1	1.8	1.3	38
Monaco19	18.1	9.4	27.5	10.2	13.3	13.9	2.3	0.2	1.4	20.8	2.3	1.6	6.5	2.4	0.1	1.4	0.9	36
Dijon19	17.7	10.1	27.8	12.7	11.7	15.1	1.9	0.2	1.6	20.2	3.1	1.9	7.8	2.9	0.1	1.6	1.3	34
Caen19	18.7	8.7	27.3	12.9	13.2	14.7	2	0.2	1.3	23.4	3.7	1.8	6.9	3.7	0.2	2.1	1.4	33
Amiens19	16.6	9.3	26	10.3	13.7	13.7	1.5	0.2	1.7	21.4	3.7	1.8	6.5	3.1	0.1	1.7	1.2	38
Guingamp19	18	7.3	25.3	11	12.2	12.8	1.5	0.1	1.4	18.7	2.9	2.1	8	2.7	0.1	1.4	1.3	27
PSG18	16.9	10.1	27	8.8	13	11.2	1.6	0.2	2.4	14.4	2.6	2.1	5.9	2.4	0.1	1.4	0.9	93
Lyon18	16.9	9.8	26.7	11.9	13.9	12.5	1.9	0.1	2.1	20.4	2.7	2.7	6.5	2.9	0.1	1.6	1.3	78
