;Tackles_TotalTackles;Tackles_DribbledPast;Tackles_TotalAttemptedTackles;Interception_Total;Fouls_Fouled;Fouls_Fouls;Cards_Yellow;Cards_Red;OffSides_CaughtOffside;Clearances_Total;Blocks_ShotsBlocked;Blocks_CrossesBlocked;Blocks_PassesBlocked;Saves_Total;Saves_SixYardBox;Saves_PenaltyArea;Saves_OutOfBox;PassesLength_Total;PassesLength_AccLB;PassesLength_InAccLB;PassesLength_AccSP;PassesLength_InAccSP;PassesType_AccCr;PassesType_InAccCr;PassesType_AccCrn;PassesType_InAccCrn;PassesType_AccFrK;PassesType_InAccFrK;ShotsZones_OutOfBox;ShotsZones_SixYardBox;ShotsZones_PenaltyArea;ShotsSituations_OpenPlay;shotsSituations_Counter;ShotsSituations_SetPiece;ShotsSituations_PenaltyTaken;ShotsAccuracy_OffTarget;ShotsAccuracy_OnPost;ShotsAccuracy_OnTarget;ShotsAccuracy_Blocked;ShotsBodyParts_RightFoot;ShotsBodyParts_LeftFoot;ShotsBodyParts_Head;ShotsBodyParts_Other;Dribbles_Unsuccessful;Dribbles_Successful;Dribbles_Total;PossesionLoss_UnsuccessfulTouches;PossesionLoss_Dispossessed;Aerial_Total;Aerial_Won;Aerial_Lost;Pts
PSG19;18.4;9;27.5;9;11.7;12.05;1.7;0.1;2.4;12.9;2.5;1.4;6.4;2.6;0.2;1.2;1.2;621.3;23.1;13.1;529.2;55.9;3.4;12;3.2;3.1;10.5;0.9;4.3;1.3;9.1;10.4;0.8;3.2;0.3;5.9;0.4;6.1;2.8;8;4.9;1.8;0;7.8;11.9;19.7;13.2;12;20.2;11;9.2;91
Lyon19;16.8;6.9;23.6;9.6;12.3;11.7;1.4;0.1;2.5;16.1;3.6;2;7.1;2.8;0.2;1.4;1.2;548.6;26.1;19.6;445.2;57.6;5.2;12.8;2.8;3.1;10.2;1.2;6.9;1.2;9.6;12.7;0.6;4.2;0.3;6.7;0.2;6.6;4.3;8.5;6.6;2.5;0.1;7.9;12.2;20.1;15.8;11.9;30.7;16.6;14;72
Lille19;16.5;8.4;24.9;10.2;13.4;12.6;1.8;0.1;1;17.9;2.8;2.3;7.1;2.4;0.1;1.4;0.9;438.1;23.9;29.8;331.3;53.2;3.9;11.3;1.7;2.6;10.8;2.8;5.6;0.5;6.9;9;0.8;2.9;0.3;5.2;0.2;5.1;2.8;5.2;5.9;1.9;0.1;7;9.6;16.6;14.5;12.1;31.1;15.4;15.7;72
Montpellier19;20;9.8;29.8;12.8;12.6;14.1;1.6;0.1;1.5;18.6;2.8;1.7;8.1;2.7;0.1;1.4;1.2;416.7;36.2;31.6;291.1;57.8;5.1;14.6;1.8;2.7;9.7;2.6;5.9;0.9;6.6;9.4;0.5;3.4;0.1;5.8;0.2;4.5;3.1;7.1;3.6;2.7;0.1;6.8;8;14.8;15.8;10.2;40.7;20.3;20.4;59
Saint-Etienne19;17.7;9.3;27;11.6;12;11.9;1.6;0.2;1.6;19.3;2.6;1.6;6.9;3;0.1;1.8;1.1;453.9;31.8;32.8;336.1;53.2;4.4;15.9;2.6;3.3;8.7;3.5;5.2;1.1;6.8;9.3;0.2;3.5;0.1;4.8;0.2;4.7;3.7;7.5;3.4;2.1;0.1;6.7;8.3;15;13.6;10.7;34.4;16.6;17.7;66
Marseille19;20.5;10;30.5;10.6;12;13.2;2.2;0.2;1.2;17;2.6;1.5;6.5;2.3;0.1;1.3;0.9;473.7;26.6;27.2;363.6;56.3;5.7;16.1;2.5;3.4;9.2;2.7;5.2;1;7.7;9;0.3;4.5;0.1;5.9;0.2;4.5;3.6;5.9;4.6;3.3;0.1;7.9;9.4;17.3;15.1;9.6;35.9;18.9;17;61
Nice19;17.4;8.7;26.1;11.8;13.6;11.2;1.9;0.1;1.1;19.3;2.8;1.6;8;3.2;0.2;1.8;1.2;521.6;27.6;24.1;420.9;49.1;3.3;9.7;2.1;2.5;12.9;1.6;5.2;0.7;5.7;7.4;0.6;3.3;0.2;5;0.2;3.4;3.2;7.2;2.5;1.9;0;11.1;13.3;24.3;17.2;10.8;28;14.3;13.7;56
Nimes19;19.3;11.4;30.6;11.7;13;12.8;1.8;0.1;1.1;20.4;3.1;1.9;6.8;3.2;0.2;1.9;1.1;358.7;27.5;35.8;239.3;56.1;4.5;14.8;2;3.3;7.9;4.8;6.1;1.1;6.5;9.1;0.5;3.9;0.2;5.7;0.4;4.7;3.3;8.1;3.4;2.2;0;8.4;9.6;17.9;16.9;10.7;41.7;19.2;22.5;53
Rennes19;17.2;9.4;26.6;10.2;12.8;12.9;1.7;0.1;1.6;19.2;3.1;1.5;7.5;2.8;0.1;1.6;1.1;424.2;27;27.2;317.4;52.7;3.8;13.7;2.1;2.9;9.3;1.7;5.4;1.1;5.9;7.5;0.6;4;0.3;5.4;0.3;4.2;2.8;7;3.6;1.7;0.1;9.9;10.3;20.2;16.1;9.8;32.6;17.1;15.5;52
Strasbourg19;17.1;8.2;25.3;11.3;10.6;13.5;1.8;0.1;1.1;18.4;3.3;1.8;6.5;2.7;0.1;1.5;1.1;444.6;37.3;29.3;320.4;57.6;4.4;14.5;1.8;2.3;9.2;1.8;4.4;0.6;5.6;7.1;0.4;2.9;0.2;4;0.1;4.1;2.4;5.4;2.9;2.2;0;6;7.5;13.6;15.6;10.5;34.2;17.3;16.9;49
